Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,76.0000000000,ng/m2/day,2018-01-03 09:58:00 +01:00,2018-01-10 12:09:00 +01:00,3,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,53.0000000000,ng/m2/day,2018-01-10 12:09:00 +01:00,2018-01-17 11:10:00 +01:00,3,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,128.0000000000,ng/m2/day,2018-01-17 11:10:00 +01:00,2018-01-24 11:28:00 +01:00,3,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,251.0000000000,ng/m2/day,2018-01-24 11:28:00 +01:00,2018-01-31 11:15:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,88.0000000000,ng/m2/day,2018-01-31 11:15:00 +01:00,2018-02-07 12:35:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,54.0000000000,ng/m2/day,2018-02-07 12:40:00 +01:00,2018-02-14 12:00:00 +01:00,3,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,51.0000000000,ng/m2/day,2018-02-14 12:00:00 +01:00,2018-02-21 11:35:00 +01:00,3,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,137.0000000000,ng/m2/day,2018-02-21 11:35:00 +01:00,2018-02-28 11:15:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,989.0000000000,ng/m2/day,2018-02-28 11:15:00 +01:00,2018-03-07 12:15:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,138.0000000000,ng/m2/day,2018-03-07 12:15:00 +01:00,2018-03-14 12:36:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,176.0000000000,ng/m2/day,2018-03-14 12:36:00 +01:00,2018-03-21 10:27:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,50.0000000000,ng/m2/day,2018-03-21 10:27:00 +01:00,2018-03-28 10:00:00 +01:00,3,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,1149.0000000000,ng/m2/day,2018-03-28 10:00:00 +01:00,2018-04-04 10:45:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,449.0000000000,ng/m2/day,2018-04-04 10:45:00 +01:00,2018-04-11 10:25:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,1309.0000000000,ng/m2/day,2018-04-11 10:25:00 +01:00,2018-04-18 10:20:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,378.0000000000,ng/m2/day,2018-04-18 10:20:00 +01:00,2018-04-25 10:25:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,218.0000000000,ng/m2/day,2018-04-25 10:25:00 +01:00,2018-05-02 10:32:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,103.0000000000,ng/m2/day,2018-05-02 10:32:00 +01:00,2018-05-09 10:25:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,372.0000000000,ng/m2/day,2018-05-09 10:25:00 +01:00,2018-05-16 10:15:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,,ng/m2/day,2018-05-16 10:15:00 +01:00,2018-05-23 10:30:00 +01:00,-1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,,ng/m2/day,2018-05-23 10:30:00 +01:00,2018-05-30 10:23:00 +01:00,-1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,2211.0000000000,ng/m2/day,2018-05-30 10:23:00 +01:00,2018-06-06 10:30:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,,ng/m2/day,2018-06-06 10:30:00 +01:00,2018-06-13 10:35:00 +01:00,-1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,399.0000000000,ng/m2/day,2018-06-13 10:40:00 +01:00,2018-06-20 11:20:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,,ng/m2/day,2018-06-20 11:20:00 +01:00,2018-06-27 11:06:00 +01:00,-1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,,ng/m2/day,2018-06-27 11:06:00 +01:00,2018-07-04 11:18:00 +01:00,-1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,,ng/m2/day,2018-07-04 11:18:00 +01:00,2018-07-11 10:20:00 +01:00,-1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,190.0000000000,ng/m2/day,2018-07-18 11:30:00 +01:00,2018-07-25 10:32:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,1489.0000000000,ng/m2/day,2018-07-25 10:32:00 +01:00,2018-08-01 10:26:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,52.0000000000,ng/m2/day,2018-08-01 10:32:00 +01:00,2018-08-08 10:15:00 +01:00,3,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,224.0000000000,ng/m2/day,2018-08-08 10:15:00 +01:00,2018-08-15 10:15:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,85.0000000000,ng/m2/day,2018-08-15 10:15:00 +01:00,2018-08-22 10:15:00 +01:00,3,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,83.0000000000,ng/m2/day,2018-08-22 10:45:00 +01:00,2018-08-29 10:15:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,1904.0000000000,ng/m2/day,2018-08-29 10:15:00 +01:00,2018-09-05 10:19:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,199.0000000000,ng/m2/day,2018-09-05 10:19:00 +01:00,2018-09-12 10:08:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,111.0000000000,ng/m2/day,2018-09-12 10:08:00 +01:00,2018-09-19 10:12:00 +01:00,3,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,135.0000000000,ng/m2/day,2018-09-19 10:12:00 +01:00,2018-09-26 10:45:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,,ng/m2/day,2018-09-26 10:45:00 +01:00,2018-10-03 10:50:00 +01:00,-1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,161.0000000000,ng/m2/day,2018-10-03 10:50:00 +01:00,2018-10-10 10:30:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0048R,GB0048R,GB_SamplingPoint_69620,GB_StationProcess_3023,GB_SamplingFeature_3023,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,101.0000000000,ng/m2/day,2018-10-10 10:30:00 +01:00,2018-10-17 11:07:00 +01:00,3,1
