,Countrycode,Timezone,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,AirQualityStationNatCode,SamplingPoint,SamplingProces,Sample,AirPollutantCode,ObservationDateBegin,ObservationDateEnd,Projection,Longitude,Latitude,Altitude,MeasurementType,AirQualityStationType,AirQualityStationArea,EquivalenceDemonstrated,MeasurementEquipment,InletHeight,BuildingDistance,KerbDistance
0,AD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,AD.GovernAndorra.AQ,NET-AD001A,STA-AD0942A,AD0942A,942,SPO-AD0942A-0001,SPP-AD0942A-0001-API100E,SAM-AD0942A-0001,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,2005-01-01T00:00:00,,EPSG:4979,1.539138,42.50969399946506,1080.0,automatic,background,urban,ref,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API100E,3.0,6.0,-999.0
7,AD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,AD.GovernAndorra.AQ,NET-AD001A,STA-AD0944A,AD0944A,944,SPO-AD0944A-0007,SPP-AD0944A-0007-API400E,SAM-AD0944A-0007,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,2005-01-01T00:00:00,,EPSG:4979,1.5652500000000005,42.51694399946504,1637.0,automatic,background,rural,ref,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API400E,3.0,-999.0,-999.0
8,AD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,AD.GovernAndorra.AQ,NET-AD001A,STA-AD0945A,AD0945A,945,SPO-AD0945A-0007,SPP-AD0945A-0007-API400E,SAM-AD0945A-0007,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,2009-08-18T00:00:00,,EPSG:4979,1.7169859999999997,42.534882999465005,2515.0,automatic,background,rural,ref,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API400E,3.0,-999.0,-999.0
9,AL,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,AL.NEA.AQ,NET-AL002A,STA-AL0201A,AL0201A,AL360A01,SPO-AL0201A_00001_100,SPP-AL_A_UV-FL_API100E,SPO_F-AL0201A_00001_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,2010-01-06T00:00:00,,EPSG:4979,19.821772,41.33026899946737,162.0,automatic,traffic,urban,,,3.0,-999.0,2.8
16,AL,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,AL.NEA.AQ,NET-AL002A,STA-AL0202A,AL0202A,AL360A02,SPO-AL0202A_00001_100,SPP-AL_A_UV-FL_API100E,SPO_F-AL0202A_00001_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,2010-01-06T00:00:00,,EPSG:4979,19.851667000000003,41.34559999946733,207.0,automatic,traffic,suburban,,,3.0,-999.0,5.0
23,AL,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,AL.AEF.AQ,NET-AL001A,STA-AL0203A,AL0203A,AL150A01,SPO-AL0203A_00001_100,SPP-AL_A_UV-FL_API100E,SPO_F-AL0203A_00001_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,2011-11-10T00:00:00,,EPSG:4979,20.780179999999998,40.62593,848.0,automatic,background,suburban,ref,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API100E,3.0,-999.0,-999.0
32,AL,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,AL.AEF.AQ,NET-AL001A,STA-AL0204A,AL0204A,AL110A01,SPO-AL0204A_00001_100,SPP-AL_A_UV-FL_API100E,SPO_F-AL0204A_00001_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,2013-04-03T00:00:00,,EPSG:4979,19.4862,40.40308999999999,25.0,automatic,background,urban,ref,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API100E,3.0,-999.0,-999.0
41,AL,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,AL.AEF.AQ,NET-AL001A,STA-AL0205A,AL0205A,AL350A01,SPO-AL0205A_00001_100,SPP-AL_A_UV-FL_API100E,SPO_F-AL0205A_00001_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,2011-11-10T00:00:00,,EPSG:4979,19.4492,41.319899999999976,1.0,automatic,traffic,urban,ref,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API100E,3.0,30.0,10.0
50,AL,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,AL.AEF.AQ,NET-AL001A,STA-AL0206A,AL0206A,AL550A01,SPO-AL0206A_00001_100,SPP-AL_A_UV-FL_API100E,SPO_F-AL0206A_00001_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,2011-11-10T00:00:00,,EPSG:4979,19.52342,42.313899999999975,13.0,automatic,background,urban,ref,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API100E,3.0,-999.0,-999.0
59,AL,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,AL.AEF.AQ,NET-AL001A,STA-AL0207A,AL0207A,AL310A01,SPO-AL0207A_00001_100,SPP-AL_A_UV-FL_API100E,SPO_F-AL0207A_00001_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,2014-04-01T00:00:00,,EPSG:4979,20.0817,41.11098,150.0,automatic,traffic,urban,ref,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API100E,3.0,1.0,3.0
